NIH Spending Categorization,Year,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs by IC,FY Indirect Costs by IC,FY Total Cost by IC,FY Total Cost (Sub Projects)
Clinical Research;Genetics;Human Genome;Infectious Diseases,2012,Achievement;Address;Africa;African;base;biobank;Bioethics Consultants;Bioinformatics;Biological;Cells;Clinical;Collaborations;Communities;Companions;Computer software;Country;Data;Development;Disease;Documentation;Ensure;Epidemiology;Ethics;Evaluation;experience;Feedback;Fostering;Foundations;Funding;Genes;Genetic Materials;Genomics;Goals;Grant;Growth;Guidelines;Health;HIV;Human;Human Genetics;Human Resources;Human Virology;improved;Institutes;International;Laboratories;Laboratory Scientists;Maps;Measures;Medicine;meetings;Mentors;microbiome;Modeling;Monitor;National Institute of General Medical Sciences;Nigeria;operation;Outcome;Phase;Pilot Projects;Population;Principal Investigator;Procedures;Process;programs;public health medicine (field);Qualifying;quality assurance;Quality Control;Race;repository;Research;Research Infrastructure;Research Personnel;Resources;Rest;Retrieval;Sampling;Science;Scientist;Secure;Services;Shipping;Ships;Site;Societies;Staging;Strategic Planning;tool;Training;Translational Research;Trust;Work;,IHVN H3 AFRICA BIOREPOSITORY INITIATIVE,This proposal builds on an existing biorepository to support the H3Africa Consortium and networks of African scientists to study genomics and environmental determinants of common diseases with the goal of improving the health of African populations. Since the human race originated in Africa and migrated to populate the world; studies of genes in African peoples are a powerful strategy for advancing human health globally. A biorepository based in Africa is important to promoting this research by African scientists and the broader research community.,NHGRI,8401884,14-Aug-12,RFA-RM-12-003,1UH2HG007008-01,1,UH2,HG,7008,1,,"STRUEWING, JEFFERY P",15-Aug-12,31-Jul-13,Special Emphasis Panel (),,2485048,"ABIMIKU, ALASH'LE G.",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,15-Aug-12,31-Jul-13,310,Research Projects,2012,NICHD,20000,0,20000,
Clinical Research;Genetics;Human Genome;Infectious Diseases,2012,Achievement;Address;Africa;African;base;biobank;Bioethics Consultants;Bioinformatics;Biological;Cells;Clinical;Collaborations;Communities;Companions;Computer software;Country;Data;Development;Disease;Documentation;Ensure;Epidemiology;Ethics;Evaluation;experience;Feedback;Fostering;Foundations;Funding;Genes;Genetic Materials;Genomics;Goals;Grant;Growth;Guidelines;Health;HIV;Human;Human Genetics;Human Resources;Human Virology;improved;Institutes;International;Laboratories;Laboratory Scientists;Maps;Measures;Medicine;meetings;Mentors;microbiome;Modeling;Monitor;National Institute of General Medical Sciences;Nigeria;operation;Outcome;Phase;Pilot Projects;Population;Principal Investigator;Procedures;Process;programs;public health medicine (field);Qualifying;quality assurance;Quality Control;Race;repository;Research;Research Infrastructure;Research Personnel;Resources;Rest;Retrieval;Sampling;Science;Scientist;Secure;Services;Shipping;Ships;Site;Societies;Staging;Strategic Planning;tool;Training;Translational Research;Trust;Work;,IHVN H3 AFRICA BIOREPOSITORY INITIATIVE,This proposal builds on an existing biorepository to support the H3Africa Consortium and networks of African scientists to study genomics and environmental determinants of common diseases with the goal of improving the health of African populations. Since the human race originated in Africa and migrated to populate the world; studies of genes in African peoples are a powerful strategy for advancing human health globally. A biorepository based in Africa is important to promoting this research by African scientists and the broader research community.,NHGRI,8401884,14-Aug-12,RFA-RM-12-003,1UH2HG007008-01,1,UH2,HG,7008,1,,"STRUEWING, JEFFERY P",15-Aug-12,31-Jul-13,Special Emphasis Panel (),,2485048,"ABIMIKU, ALASH'LE G.",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,15-Aug-12,31-Jul-13,310,Research Projects,2012,OD,123442,11475,134917,
Clinical Research;Genetics;Human Genome;Infectious Diseases,2013,Achievement;Address;Africa;African;base;biobank;Bioethics Consultants;Bioinformatics;Biological;Cells;Clinical;Collaborations;Communities;Companions;Computer software;Country;Data;Development;Disease;Documentation;Ensure;Epidemiology;Ethics;Evaluation;experience;Feedback;Fostering;Foundations;Funding;Genes;Genetic Materials;Genomics;Goals;Grant;Growth;Guidelines;Health;HIV;Human;Human Genetics;Human Resources;Human Virology;improved;Institutes;International;Laboratories;Laboratory Scientists;Maps;Measures;Medicine;meetings;Mentors;microbiome;Modeling;Monitor;National Institute of General Medical Sciences;Nigeria;operation;Outcome;Phase;Pilot Projects;Population;Principal Investigator;Procedures;Process;programs;public health medicine (field);public health relevance;Qualifying;quality assurance;Quality Control;Race;repository;Research;Research Infrastructure;Research Personnel;Resources;Rest;Retrieval;Sampling;Science;Scientist;Secure;Services;Shipping;Ships;Site;Societies;Staging;Strategic Planning;tool;Training;Translational Research;Trust;Work;,IHVN H3 AFRICA BIOREPOSITORY INITIATIVE,PUBLIC HEALTH RELEVANCE: This proposal builds on an existing biorepository to support the H3Africa Consortium and networks of African scientists to study genomics and environmental determinants of common diseases with the goal of improving the health of African populations. Since the human race originated in Africa and migrated to populate the world; studies of genes in African peoples are a powerful strategy for advancing human health globally. A biorepository based in Africa is important to promoting this research by African scientists and the broader research community.             ,NHGRI,8530170,16-Sep-13,RFA-RM-12-003,4UH2HG007008-02,4,UH2,HG,7008,2,,"STRUEWING, JEFFERY P",15-Aug-12,31-Jul-15,Special Emphasis Panel (),,2485048,"ABIMIKU, ALASH'LE G.",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,1-Aug-13,31-Jul-15,310,Research Projects,2013,NICHD,19400,0,19400,
Clinical Research;Genetics;Human Genome;Infectious Diseases,2013,Achievement;Address;Africa;African;base;biobank;Bioethics Consultants;Bioinformatics;Biological;Cells;Clinical;Collaborations;Communities;Companions;Computer software;Country;Data;Development;Disease;Documentation;Ensure;Epidemiology;Ethics;Evaluation;experience;Feedback;Fostering;Foundations;Funding;Genes;Genetic Materials;Genomics;Goals;Grant;Growth;Guidelines;Health;HIV;Human;Human Genetics;Human Resources;Human Virology;improved;Institutes;International;Laboratories;Laboratory Scientists;Maps;Measures;Medicine;meetings;Mentors;microbiome;Modeling;Monitor;National Institute of General Medical Sciences;Nigeria;operation;Outcome;Phase;Pilot Projects;Population;Principal Investigator;Procedures;Process;programs;public health medicine (field);public health relevance;Qualifying;quality assurance;Quality Control;Race;repository;Research;Research Infrastructure;Research Personnel;Resources;Rest;Retrieval;Sampling;Science;Scientist;Secure;Services;Shipping;Ships;Site;Societies;Staging;Strategic Planning;tool;Training;Translational Research;Trust;Work;,IHVN H3 AFRICA BIOREPOSITORY INITIATIVE,PUBLIC HEALTH RELEVANCE: This proposal builds on an existing biorepository to support the H3Africa Consortium and networks of African scientists to study genomics and environmental determinants of common diseases with the goal of improving the health of African populations. Since the human race originated in Africa and migrated to populate the world; studies of genes in African peoples are a powerful strategy for advancing human health globally. A biorepository based in Africa is important to promoting this research by African scientists and the broader research community.             ,NHGRI,8530170,16-Sep-13,RFA-RM-12-003,4UH2HG007008-02,4,UH2,HG,7008,2,,"STRUEWING, JEFFERY P",15-Aug-12,31-Jul-15,Special Emphasis Panel (),,2485048,"ABIMIKU, ALASH'LE G.",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,1-Aug-13,31-Jul-15,310,Research Projects,2013,OD,196985,14364,97000,
Cancer;Cervical Cancer;Clinical Research;Genetics;Human Genome;Infectious Diseases,2013,Affect;African;Baltimore;carcinogenesis;Cervical;Communities;Country;Disease;empowered;Epidemiology;Funding;Generations;Genes;Genetic;Genomics;Grouping;Health;Human Genome;Human Microbiome;Human Papillomavirus;Human Virology;Institutes;Institution;Knowledge;Link;Mali;Malignant neoplasm of cervix uteri;Maryland;medical schools;microbial;microbiome;Molecular;Morbidity - disease rate;Mortality Vital Statistics;Nigeria;Pathogenesis;Pathway interactions;Play;post-doctoral training;programs;public health medicine (field);Public Health Schools;Research;Research Methodology;Research Training;Role;Science;Scientist;Students;Teaching Hospitals;Technology;Universities;Vagina;Variant;Viral;Woman;,AFRICAN COLLABORATIVE CENTER FOR MICROBIOME AND GENOMICS RESEARCH (ACCME),n/a,NHGRI,8576226,18-Sep-13,RFA-RM-12-006,1U54HG006947-01A1,1,U54,HG,6947,1,A1,"STRUEWING, JEFFERY P",19-Sep-13,31-Jul-17,Special Emphasis Panel (),,9180528,"ADEBAMOWO, CLEMENT ADEBAYO",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,19-Sep-13,31-Jul-14,310,Research Centers,2013,NHGRI,730096,67622,797718,
Cancer;Cervical Cancer;Clinical Research;Genetics;Human Genome;Infectious Diseases,2013,Affect;African;Baltimore;carcinogenesis;Cervical;Communities;Country;Disease;empowered;Epidemiology;Funding;Generations;Genes;Genetic;Genomics;Grouping;Health;Human Genome;Human Microbiome;Human Papillomavirus;Human Virology;Institutes;Institution;Knowledge;Link;Mali;Malignant neoplasm of cervix uteri;Maryland;medical schools;microbial;microbiome;Molecular;Morbidity - disease rate;Mortality Vital Statistics;Nigeria;Pathogenesis;Pathway interactions;Play;post-doctoral training;programs;public health medicine (field);Public Health Schools;Research;Research Methodology;Research Training;Role;Science;Scientist;Students;Teaching Hospitals;Technology;Universities;Vagina;Variant;Viral;Woman;,AFRICAN COLLABORATIVE CENTER FOR MICROBIOME AND GENOMICS RESEARCH (ACCME),n/a,NHGRI,8576226,18-Sep-13,RFA-RM-12-006,1U54HG006947-01A1,1,U54,HG,6947,1,A1,"STRUEWING, JEFFERY P",19-Sep-13,31-Jul-17,Special Emphasis Panel (),,9180528,"ADEBAMOWO, CLEMENT ADEBAYO",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,19-Sep-13,31-Jul-14,310,Research Centers,2013,OD,365180,0,365180,
Clinical Research;Genetics;Human Genome;Infectious Diseases,2014,Achievement;Address;Africa;African;base;biobank;Bioethics Consultants;Bioinformatics;Biological;Cells;Clinical;Cloud Computing;Collaborations;Communities;Companions;Computer software;Country;Data;Development;Disease;Documentation;Ensure;Epidemiology;Ethics;Evaluation;experience;Feedback;Fostering;Foundations;Funding;Genes;Genetic Materials;Genomics;Goals;Grant;Growth;Guidelines;Health;HIV;Human;Human Genetics;Human Resources;Human Virology;improved;Institutes;International;Laboratories;Laboratory Scientists;Maps;Measures;Medicine;meetings;Mentors;microbiome;Modeling;Monitor;National Institute of General Medical Sciences;Nigeria;operation;Outcome;Phase;Pilot Projects;Population;Principal Investigator;Procedures;Process;programs;public health medicine (field);public health relevance;Qualifying;quality assurance;Quality Control;Race;repository;Research;Research Infrastructure;Research Personnel;Resources;Rest;Retrieval;Sampling;Science;Scientist;Secure;Services;Shipping;Ships;Site;Societies;Staging;Strategic Planning;tool;Training;Translational Research;Trust;Work;,IHVN H3 AFRICA BIOREPOSITORY INITIATIVE,PUBLIC HEALTH RELEVANCE: This proposal builds on an existing biorepository to support the H3Africa Consortium and networks of African scientists to study genomics and environmental determinants of common diseases with the goal of improving the health of African populations. Since the human race originated in Africa and migrated to populate the world; studies of genes in African peoples are a powerful strategy for advancing human health globally. A biorepository based in Africa is important to promoting this research by African scientists and the broader research community.             ,NHGRI,8884690,16-Sep-14,PA-12-100,3UH2HG007008-02S1,3,UH2,HG,7008,2,S1,"STRUEWING, JEFFERY P",15-Aug-12,31-Jul-15,,,2485048,"ABIMIKU, ALASH'LE G.",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,1-Aug-13,31-Jul-15,310,Research Projects,2014,OD,501074,38926,540000,
Cancer;Cervical Cancer;Clinical Research;Genetics;Human Genome;Infectious Diseases,2014,Affect;African;Baltimore;carcinogenesis;Cervical;Communities;Country;Disease;empowered;Epidemiology;Funding;Generations;Genes;Genetic;Genomics;Grouping;Health;Human Genome;Human Microbiome;Human Papillomavirus;Human Virology;Institutes;Institution;Knowledge;Link;Mali;Malignant neoplasm of cervix uteri;Maryland;medical schools;microbial;microbiome;Molecular;Morbidity - disease rate;Mortality Vital Statistics;Nigeria;Pathogenesis;Pathway interactions;Play;post-doctoral training;programs;public health medicine (field);Public Health Schools;Research;Research Methodology;Research Training;Role;Science;Scientist;Students;Teaching Hospitals;Technology;Universities;Vagina;Variant;Viral;Woman;,AFRICAN COLLABORATIVE CENTER FOR MICROBIOME AND GENOMICS RESEARCH (ACCME),RELEVANCE: The African Collaborative Center for Microbiome and Genomics Research (ACCME) leverages advanced research methods and technologies of the University of Maryland; Baltimore to build capacity; conduct training and research the role of vaginal microbiome in Human Papilloma Virus persistence and cervical carcinogenesis as a paradigmatic example of a high impact public health challenge that affects women's morbidity and mortality.,NHGRI,8737743,15-Aug-14,RFA-RM-12-006,5U54HG006947-02,5,U54,HG,6947,2,,"WILEY, KENNETH L",19-Sep-13,31-Jul-17,Special Emphasis Panel (),,9180528,"ADEBAMOWO, CLEMENT ADEBAYO",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,1-Aug-14,31-Jul-15,310,Research Centers,2014,OD,155106,0,155106,
Cancer;Cervical Cancer;Clinical Research;Genetics;Human Genome;Infectious Diseases,2014,Affect;African;Baltimore;carcinogenesis;Cervical;Communities;Country;Disease;empowered;Epidemiology;Funding;Generations;Genes;Genetic;Genomics;Grouping;Health;Human Genome;Human Microbiome;Human Papillomavirus;Human Virology;Institutes;Institution;Knowledge;Link;Mali;Malignant neoplasm of cervix uteri;Maryland;medical schools;microbial;microbiome;Molecular;Morbidity - disease rate;Mortality Vital Statistics;Nigeria;Pathogenesis;Pathway interactions;Play;post-doctoral training;programs;public health medicine (field);Public Health Schools;Research;Research Methodology;Research Training;Role;Science;Scientist;Students;Teaching Hospitals;Technology;Universities;Vagina;Variant;Viral;Woman;,AFRICAN COLLABORATIVE CENTER FOR MICROBIOME AND GENOMICS RESEARCH (ACCME),RELEVANCE: The African Collaborative Center for Microbiome and Genomics Research (ACCME) leverages advanced research methods and technologies of the University of Maryland; Baltimore to build capacity; conduct training and research the role of vaginal microbiome in Human Papilloma Virus persistence and cervical carcinogenesis as a paradigmatic example of a high impact public health challenge that affects women's morbidity and mortality.,NHGRI,8737743,15-Aug-14,RFA-RM-12-006,5U54HG006947-02,5,U54,HG,6947,2,,"WILEY, KENNETH L",19-Sep-13,31-Jul-17,Special Emphasis Panel (),,9180528,"ADEBAMOWO, CLEMENT ADEBAYO",Not Applicable,n/a,Unavailable,850470568,NI,9.05735,7.48976,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,Unavailable,90024-6,NIGERIA, ,1-Aug-14,31-Jul-15,310,Research Centers,2014,NHGRI,738413,71481,809894,
Antimicrobial Resistance;Biotechnology;Clinical Research;Genetics;Human Genome;Immunization;Infectious Diseases;Lung;Prevention;Rare Diseases;Tuberculosis;Vaccine Related,2013,Accounting;Address;aerosolized;Affect;African;AIDS/HIV problem;Alveolar Macrophages;Antibiotic Resistance;Antibiotic Therapy;antimicrobial;Area;Attenuated;Bacillus (bacterium);base;BCG Vaccine;Binding (Molecular Function);Biological Assay;Blood Vessels;Breathing;burden of illness;CD4 Positive T Lymphocytes;Cells;Chromosomes;Chronic;cohort;Communicable Disease Control;Communicable Diseases;Containment;Contracts;Country;Data;Development;Discipline;Disease;Disease Progression;disease transmission;DNA;Drug resistance in tuberculosis;drug sensitivity;Environment;Environmental Risk Factor;Epidemic;Epidemiology;Epithelial;Ethiopia;genome analysis;Genomics;Genotype;Granuloma;Growth;Health;Helminthiasis;Helminths;HIV;Host Defense;Human;Human Microbiome;Hypoxia;Immune;Immune response;Immune system;Immunity;improved;Individual;Infection;Infiltration;Inflammation;innovation;insight;Institutes;Invaded;Knowledge;latent infection;Life;Livestock;Lung;Malnutrition;Methodology;Microbe;microbiome;Molecular Analysis;Molecular Epidemiology;Morbidity - disease rate;Mortality Vital Statistics;Multi-Drug Resistance;Multiple drug resistant Mycobacteria Tuberculosis;Mycobacterium bovis;Mycobacterium tuberculosis;neglect;non-tuberculosis mycobacteria;novel;Outcome;pathogen;Pathology;Patients;Pattern;Phagocytosis;Phase;Population;population based;Poverty;Predisposition;Preparation;prevent;Probability;Proteins;Proteome;public health medicine (field);Recombinant DNA;Recurrence;Reporting;Research;Resolution;respiratory;Respiratory System;Respiratory tract structure;response;Scientist;Severities;skills;Structure of parenchyma of lung;Surveys;Systems Biology;Technology;tool;Training Programs;trait;transmission process;Tuberculin Test;Tuberculosis;Universities;Vaccines;,SYSTEMS BIOLOGY FOR MOLECULAR ANALYSIS OF TUBERCULOSIS IN ETHIOPIA,PUBLIC HEALTH RELEVANCE: Narrative. Mycobacterium tuberculosis (Mtb) is a human pathogen causing a disease considered to be among the world's most serious public health problems. Of particular concern are the tuberculosis epidemics in African countries with high levels of HIV/AIDS; malnutrition and poverty. Our objective is to use technologies known as genomics to understand in more detail how a weakened immune system and microbes that live in the human respiratory tract affect the probability of contracting tuberculosis and disease progression.            ,NHGRI,8576019,19-Sep-13,RFA-RM-12-007,1U01HG007472-01,1,U01,HG,7472,1,,"STRUEWING, JEFFERY P",20-Sep-13,31-Jul-16,Special Emphasis Panel (ZHG1-HGR-P (M2)),,11632741,"AMENI, GOBENA ",Not Applicable,n/a,Unavailable,850507858,ET,9.033333,38.7,ADDIS ABABA UNIVERSITY,ADDIS ABABA,,Unavailable,,ETHIOPIA, ,20-Sep-13,31-Jul-14,172,Research Projects,2013,NHGRI,250934,16094,267028,
